,data,label
0,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.32.wav,down
1,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.32_noise.wav,down
2,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.47.wav,down
3,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.47_noise.wav,down
4,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.50.wav,down
5,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.50_noise.wav,down
6,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.54_noise.wav,down
7,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.01.wav,down
8,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.01_noise.wav,down
9,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.06_noise.wav,down
10,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.09.wav,down
11,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.09_noise.wav,down
12,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.13.wav,down
13,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.13_noise.wav,down
14,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.17.wav,down
15,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.17_noise.wav,down
16,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.20.wav,down
17,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.29.wav,down
18,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.32.wav,down
19,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.36_noise.wav,down
20,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.39_noise.wav,down
21,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.44.wav,down
22,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.52_noise.wav,down
23,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.55.wav,down
24,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.55_noise.wav,down
25,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.59_noise.wav,down
26,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.02.wav,down
27,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.02_noise.wav,down
28,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.06.wav,down
29,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.06_noise.wav,down
30,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.12.wav,down
31,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.56.12_noise.wav,down
32,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.44.48.wav,down
33,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.44.48_noise.wav,down
34,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 11.44.58.wav,down
