,data,label,direction_down,direction_left,direction_right,direction_up
0,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.32.wav,down,1,0,0,0
1,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.32_noise.wav,down,1,0,0,0
2,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.47.wav,down,1,0,0,0
3,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.47_noise.wav,down,1,0,0,0
4,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.50.wav,down,1,0,0,0
5,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.50_noise.wav,down,1,0,0,0
6,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.54.54_noise.wav,down,1,0,0,0
7,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.01.wav,down,1,0,0,0
8,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.01_noise.wav,down,1,0,0,0
9,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.06_noise.wav,down,1,0,0,0
10,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.09.wav,down,1,0,0,0
11,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.09_noise.wav,down,1,0,0,0
12,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.13.wav,down,1,0,0,0
13,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.13_noise.wav,down,1,0,0,0
14,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.17.wav,down,1,0,0,0
15,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.17_noise.wav,down,1,0,0,0
16,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.20.wav,down,1,0,0,0
17,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.29.wav,down,1,0,0,0
18,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.32.wav,down,1,0,0,0
19,/mnt/g/onlinelessons/Multimedia/HW/project/dataset/final_data/train/down/1402-04-03 10.55.36_noise.wav,down,1,0,0,0
